date,attraction,city,tourists,type
2013_01,陽明山遊客中心,臺北市,18133,Indoor
2013_01,陽明公園,臺北市,114000,Outdoor
2013_01,擎天崗,臺北市,0,Outdoor
2013_01,國立故宮博物院,臺北市,304278,Indoor
2013_01,淡水漁人碼頭,新北市,225868,Outdoor
2013_01,新北市立黃金博物館,新北市,100379,Outdoor
2013_01,國立自然科學博物館,臺中市,246255,Indoor
2013_01,國立臺灣美術館(含美術園道商圈),臺中市,80251,Indoor
2013_01,臺中國家歌劇院,臺中市,0,Indoor
2013_01,日月潭環潭區,南投縣,278025,Outdoor
2013_01,清境農場,南投縣,67272,Outdoor
